"","Country","Year","MMRatio","SKpersonnel","lower_bound","upper_bound","income"
"724","Chad","2000",1370,NA,1070,1790,"730"
"738","Chile","1990",57,NA,51,64,"4140"
"748","Chile","2000",31,NA,27,34,"9320"
"761","Chile","2013",NA,99.8,NA,NA,"21030"
"762","China","1990",97,NA,80,117,"1010"
"772","China","2000",58,NA,52,65,"2830"
"786","Colombia","1990",118,NA,94,142,"4760"
"796","Colombia","2000",97,NA,90,104,"6520"
"809","Colombia","2013",NA,98.7,NA,NA,"11890"
"810","Comoros","1990",635,NA,414,961,"1170"
"820","Comoros","2000",499,NA,324,765,"1250"
"832","Comoros","2012",NA,82.2,NA,NA,"1520"
"834","Congo","1990",603,NA,421,857,"2830"
"844","Congo","2000",653,NA,492,864,"2590"
"858","Costa Rica","1990",43,NA,38,48,"4590"
"868","Costa Rica","2000",38,NA,35,43,"6990"
"882","Cote d'Ivoire","1990",745,NA,577,964,"1710"
"892","Cote d'Ivoire","2000",671,NA,522,856,"2160"
"903","Cote d'Ivoire","2011",NA,56.4,NA,NA,"2460"
"911","Croatia","2000",11,NA,9,13,"10730"
"925","Cuba","1990",58,NA,51,65,"8580"
"935","Cuba","2000",43,NA,39,47,"8670"
"947","Cyprus","1990",16,NA,10,26,"12500"
"957","Cyprus","2000",15,NA,9,25,"18190"
"970","Cyprus","2013",NA,99.9,NA,NA,"28830"
"978","Czech Republic","2000",7,NA,6,8,"15320"
"991","Czech Republic","2013",NA,99.8,NA,NA,"25530"
"992","Democratic Republic of the Congo","1990",879,NA,610,1250,"750"
"1002","Democratic Republic of the Congo","2000",874,NA,639,1160,"410"
"1015","Democratic Republic of the Congo","2013",NA,80.1,NA,NA,"680"
"1016","Denmark","1990",11,NA,9,12,"17980"
"1026","Denmark","2000",9,NA,8,10,"28240"
"1038","Denmark","2012",NA,98.2,NA,NA,"43200"
"1049","Djibouti","2000",401,NA,218,759,"1700"
"1079","Dominican Republic","1990",198,NA,133,292,"2950"
"1089","Dominican Republic","2000",79,NA,74,83,"5460"
"1103","Ecuador","1990",185,NA,164,211,"4380"
"1113","Ecuador","2000",103,NA,91,116,"5310"
"1127","Egypt","1990",106,NA,90,128,"3800"
"1137","Egypt","2000",63,NA,56,71,"6260"
"1151","El Salvador","1990",157,NA,134,185,"2820"
"1161","El Salvador","2000",84,NA,75,95,"4880"
"1175","Equatorial Guinea","1990",1310,NA,819,2080,"730"
"1185","Equatorial Guinea","2000",702,NA,457,1060,"6030"
"1196","Equatorial Guinea","2011",NA,68.3,NA,NA,"27630"
"1207","Eritrea","2000",733,NA,527,995,"1150"
"1217","Eritrea","2010",NA,34.1,NA,NA,"1050"
"1226","Estonia","2000",26,NA,21,31,"9380"
"1240","Ethiopia","1990",1250,NA,906,1640,"410"
"1250","Ethiopia","2000",897,NA,718,1100,"480"
"1264","Fiji","1990",63,NA,47,98,"3790"
"1274","Fiji","2000",42,NA,33,53,"5560"
"1287","Fiji","2013",NA,98.8,NA,NA,"7610"
"1288","Finland","1990",6,NA,5,7,"17090"
"1298","Finland","2000",5,NA,4,6,"25500"
"1312","France","1990",15,NA,13,16,"17130"
"1322","France","2000",12,NA,11,13,"25560"
"1335","France","2013",NA,98.3,NA,NA,"37580"
"1336","Gabon","1990",422,NA,290,599,"11120"
"1346","Gabon","2000",405,NA,298,550,"11710"
"1358","Gabon","2012",NA,89.3,NA,NA,"16490"
"1360","Gambia","1990",1030,NA,672,1490,"900"
"1370","Gambia","2000",887,NA,609,1250,"1190"
"1383","Gambia","2013",NA,57.2,NA,NA,"1620"
"1384","Georgia","1990",34,NA,29,40,"5210"
"1394","Georgia","2000",37,NA,30,44,"2700"
"1408","Germany","1990",11,NA,10,13,"18750"
"1418","Germany","2000",8,NA,7,9,"25510"
"1432","Ghana","1990",634,NA,436,911,"1200"
"1442","Ghana","2000",467,NA,342,645,"1720"
"1456","Greece","1990",5,NA,4,6,"12950"
"1466","Greece","2000",4,NA,3,4,"18340"
"1480","Grenada","1990",41,NA,30,53,"4580"
"1490","Grenada","2000",29,NA,21,38,"7210"
"1504","Guatemala","1990",205,NA,194,217,"3370"
"1514","Guatemala","2000",178,NA,170,186,"4950"
"1528","Guinea","1990",1040,NA,782,1360,"690"
"1538","Guinea","2000",976,NA,787,1200,"880"
"1550","Guinea","2012",NA,45.3,NA,NA,"1140"
"1552","Guinea-Bissau","1990",907,NA,512,1540,"930"
"1562","Guinea-Bissau","2000",800,NA,417,1450,"560"
"1576","Guyana","1990",171,NA,141,197,"1450"
"1586","Guyana","2000",210,NA,185,241,"3730"
"1608","Haiti","2012",NA,37.3,NA,NA,"1640"
"1610","Honduras","1990",272,NA,256,290,"1900"
"1620","Honduras","2000",133,NA,115,154,"2680"
"1631","Honduras","2011",NA,82.8,NA,NA,"4110"
"1634","Hungary","1990",24,NA,21,28,"8540"
"1644","Hungary","2000",15,NA,12,18,"11310"
"1654","Hungary","2010",NA,99.1,NA,NA,"20140"
"1657","Iceland","1990",7,NA,5,9,"20580"
"1667","Iceland","2000",5,NA,3,7,"28070"
"1681","India","1990",556,NA,445,685,"1160"
"1691","India","2000",374,NA,324,437,"2040"
"1704","India","2013",NA,74.4,NA,NA,"5350"
"1705","Indonesia","1990",446,NA,347,564,"2660"
"1715","Indonesia","2000",265,NA,213,324,"4010"
"1728","Indonesia","2013",NA,87.4,NA,NA,"9260"
